time_s,x_mm,y_mm,z_mm,odor_conc
1.72,10.0,10.0,5.0,1.1253517471925912e-07
1.73,10.0,10.0,5.0,1.1253517471925912e-07
1.74,10.0,10.0,5.0,1.1253517471925912e-07
1.75,10.0,10.0,5.0,1.1253517471925912e-07
1.76,10.0,10.0,5.0,1.1253517471925912e-07
1.77,10.0,10.0,5.0,1.1253517471925912e-07
1.78,10.0,10.0,5.0,1.1253517471925912e-07
1.79,10.0,10.0,5.0,1.1253517471925912e-07
1.8,10.0,10.0,5.0,1.1253517471925912e-07
1.81,10.0,10.0,5.0,1.1253517471925912e-07
1.82,10.0,10.0,5.0,1.1253517471925912e-07
1.83,10.0,10.0,5.0,1.1253517471925912e-07
1.84,10.0,10.0,5.0,1.1253517471925912e-07
1.85,10.0,10.0,5.0,1.1253517471925912e-07
1.86,10.0,10.0,5.0,1.1253517471925912e-07
1.87,10.0,10.0,5.0,1.1253517471925912e-07
1.8800000000000001,10.0,10.0,5.0,1.1253517471925912e-07
1.8900000000000001,10.0,10.0,5.0,1.1253517471925912e-07
1.9000000000000001,10.0,10.0,5.0,1.1253517471925912e-07
1.9100000000000001,10.0,10.0,5.0,1.1253517471925912e-07
1.92,10.0,10.0,5.0,1.1253517471925912e-07
1.93,10.0,10.0,5.0,1.1253517471925912e-07
1.94,10.0,10.0,5.0,1.1253517471925912e-07
1.95,10.0,10.0,5.0,1.1253517471925912e-07
1.96,10.0,10.0,5.0,1.1253517471925912e-07
1.97,10.0,10.0,5.0,1.1253517471925912e-07
1.98,10.0,10.0,5.0,1.1253517471925912e-07
1.99,10.0,10.0,5.0,1.1253517471925912e-07
2.0,10.0,10.0,5.0,1.1253517471925912e-07
2.0100000000000002,10.0,10.0,5.0,1.1253517471925912e-07
2.02,10.0,10.0,5.0,1.1253517471925912e-07
2.0300000000000002,10.0,10.0,5.0,1.1253517471925912e-07
2.04,10.0,10.0,5.0,1.1253517471925912e-07
2.05,10.0,10.0,5.0,1.1253517471925912e-07
2.06,10.0,10.0,5.0,1.1253517471925912e-07
2.07,10.0,10.0,5.0,1.1253517471925912e-07
2.08,10.0,10.0,5.0,1.1253517471925912e-07
2.09,10.0,10.0,5.0,1.1253517471925912e-07
2.1,10.0,10.0,5.0,1.1253517471925912e-07
2.11,10.0,10.0,5.0,1.1253517471925912e-07
2.12,10.0,10.0,5.0,1.1253517471925912e-07
2.13,10.0,10.0,5.0,1.1253517471925912e-07
2.14,10.0,10.0,5.0,1.1253517471925912e-07
2.15,10.0,10.0,5.0,1.1253517471925912e-07
2.16,10.0,10.0,5.0,1.1253517471925912e-07
2.17,10.0,10.0,5.0,1.1253517471925912e-07
2.18,10.0,10.0,5.0,1.1253517471925912e-07
2.19,10.0,10.0,5.0,1.1253517471925912e-07
2.2,10.0,10.0,5.0,1.1253517471925912e-07
2.21,10.0,10.0,5.0,1.1253517471925912e-07
2.22,10.0,10.0,5.0,1.1253517471925912e-07
2.23,10.0,10.0,5.0,1.1253517471925912e-07
2.24,10.0,10.0,5.0,1.1253517471925912e-07
2.25,10.0,10.0,5.0,1.1253517471925912e-07
2.2600000000000002,10.0,10.0,5.0,1.1253517471925912e-07
2.27,10.0,10.0,5.0,1.1253517471925912e-07
2.2800000000000002,10.0,10.0,5.0,1.1253517471925912e-07
2.29,10.0,10.0,5.0,1.1253517471925912e-07
2.3000000000000003,10.0,10.0,5.0,1.1253517471925912e-07
2.31,10.0,10.0,5.0,1.1253517471925912e-07
2.32,10.0,10.0,5.0,1.1253517471925912e-07
2.33,10.0,10.0,5.0,1.1253517471925912e-07
2.34,10.0,10.0,5.0,1.1253517471925912e-07
2.35,10.0,10.0,5.0,1.1253517471925912e-07
2.36,10.0,10.0,5.0,1.1253517471925912e-07
2.37,10.0,10.0,5.0,1.1253517471925912e-07
2.38,10.0,10.0,5.0,1.1253517471925912e-07
2.39,10.0,10.0,5.0,1.1253517471925912e-07
2.4,10.0,10.0,5.0,1.1253517471925912e-07
2.41,10.0,10.0,5.0,1.1253517471925912e-07
2.42,10.0,10.0,5.0,1.1253517471925912e-07
2.43,10.0,10.0,5.0,1.1253517471925912e-07
2.44,10.0,10.0,5.0,1.1253517471925912e-07
2.45,10.0,10.0,5.0,1.1253517471925912e-07
2.46,10.0,10.0,5.0,1.1253517471925912e-07
2.47,10.0,10.0,5.0,1.1253517471925912e-07
2.48,10.0,10.0,5.0,1.1253517471925912e-07
2.49,10.0,10.0,5.0,1.1253517471925912e-07
2.5,10.0,10.0,5.0,1.1253517471925912e-07
2.5100000000000002,10.0,10.0,5.0,1.1253517471925912e-07
2.52,10.0,10.0,5.0,1.1253517471925912e-07
2.5300000000000002,10.0,10.0,5.0,1.1253517471925912e-07
2.54,10.0,10.0,5.0,1.1253517471925912e-07
2.5500000000000003,10.0,10.0,5.0,1.1253517471925912e-07
