time,x,y,z,heading_deg,odor_concentration,brain_forward,brain_turn,velocity_mms,angular_velocity_rads,distance_to_source
23.05,37.664170865271636,98.52416054929361,5.0,202.19779095860378,0.2019069438253674,0.20181691385597672,0.06413144770326601,4.02163730354408,0.20120473293953015,50.0676226463254
23.06,37.62695050756105,98.50888543321709,5.0,202.3130901467693,0.20199782526290774,0.2019069438253674,0.06414194458950387,4.023287460840407,0.20123504583651203,50.062004751261455
23.07,37.589745560630284,98.49352907661341,5.0,202.42840687272883,0.20208955991247068,0.20199782526290774,0.06415253672512419,4.0249543652821815,0.20126565506134078,50.05633603805063
23.080000000000002,37.55255605059221,98.4780914038434,5.0,202.54374130645283,0.20218214953620645,0.20208955991247068,0.0641632242247902,4.026638048578905,0.20129656094073028,50.05061645008024
23.09,37.51538200383636,98.46257233849367,5.0,202.65909361810125,0.2022755959146194,0.20218214953620645,0.0641740072043803,4.028338542793427,0.20132776380512724,50.04484593016413
23.1,37.47822344703072,98.44697180337492,5.0,202.7744639780254,0.2023699008466444,0.2022755959146194,0.06418488578098674,4.030055880343323,0.2013592639887193,50.03902442054097
23.11,37.44108040712362,98.43128972051998,5.0,202.88985255677025,0.20246506614972515,0.2023699008466444,0.06419586007292222,4.031790094002279,0.20139106182944444,50.03315186287267
23.12,37.40395291134554,98.415526011182,5.0,203.00525952507655,0.2025610936598925,0.20246506614972515,0.06420693019972173,4.033541216901501,0.20142315766899985,50.02722819824261
23.13,37.36684098721098,98.39968059583248,5.0,203.12068505388302,0.2026579852318453,0.2025610936598925,0.06421809628214642,4.035309282531136,0.2014555518528512,50.021253367154
23.14,37.32974466252035,98.38375339415944,5.0,203.23612931432842,0.20275574273902922,0.2026579852318453,0.06422935844218516,4.037094324741713,0.20148824473024154,50.015227309528115
23.150000000000002,37.29266396536185,98.36774432506544,5.0,203.35159247775388,0.20285436807371993,0.20275574273902922,0.06424071680305996,4.0388963777456,0.20152123665420094,50.0091499647026
23.16,37.255598924113386,98.3516533066656,5.0,203.46707471570483,0.20295386314710478,0.20285436807371993,0.06425217148922865,4.04071547611848,0.20155452798155607,50.00302127142965
23.17,37.21854956744448,98.33548025628562,5.0,203.5825761999334,0.2030542298893659,0.20295386314710478,0.06426372262638763,4.0425516548008416,0.2015881190729396,49.99684116787431
23.18,37.1815159243182,98.3192250904598,5.0,203.69809710240062,0.20315547024976532,0.2030542298893659,0.06427537034147549,4.04440494909949,0.2016220102927999,49.990609591612575
23.19,37.144498023993116,98.30288772492894,5.0,203.8136375952784,0.20325758619672998,0.20315547024976532,0.06428711476267673,4.046275394689072,0.20165620200941084,49.984326479629665
23.2,37.10749589602526,98.28646807463838,5.0,203.9291978509519,0.20336057971793703,0.20325758619672998,0.0642989560194265,4.048163027613625,0.2016906945948821,49.97799176831815
23.21,37.07050957027011,98.26996605373584,5.0,204.04477804202168,0.20346445282040232,0.20336057971793703,0.06431089424241077,4.050067884288136,0.20172548842516866,49.971605393476075
23.22,37.03353907688456,98.25338157556936,5.0,204.16037834130591,0.20356920753056762,0.20346445282040232,0.06432292956357405,4.051990001500127,0.20176058388008158,49.96516729030512
23.23,36.99658444632894,98.23671455268517,5.0,204.27599892184264,0.20367484589438994,0.20356920753056762,0.06433506211611906,4.05392941641125,0.2017959813432977,49.958677393408685
23.240000000000002,36.95964570936905,98.21996489682553,5.0,204.3916399568919,0.20378136997743124,0.20367484589438994,0.0643472920345135,4.0558861665589045,0.2018316812023704,49.95213563678998
23.25,36.922722897078174,98.20313251892657,5.0,204.50730161993806,0.20388878186495007,0.20378136997743124,0.06435961945449248,4.057860289857877,0.2018676838487402,49.94554195385008
