timestamp,x,y,z,conc,distance_to_source
0.61,19.975225923589164,20.37156175297332,3.0,0.01920209682106987,42.182121939245604
0.62,19.965680213752698,20.370659564344678,3.0,0.019176498179141768,42.1895505981579
0.63,19.95620660756956,20.36927047592719,3.0,0.019149807387521332,42.19727068823062
0.64,19.94683038726724,20.367399591868285,3.0,0.019122103892559684,42.20526046264484
0.65,19.937576455559743,20.3650533411435,3.0,0.01909346951296031,42.21349751961552
0.66,19.928469265393318,20.362239447378474,3.0,0.01906398812927359,42.22195887564814
0.67,19.9195327523115,20.358966894907766,3.0,0.019033745373415203,42.23062103943576
0.68,19.91079026963712,20.355245891316283,3.0,0.019002828319982703,42.23946008606271
0.6900000000000001,19.902264526644466,20.351087826717887,3.0,0.01897132518103836,42.248451731194606
0.7000000000000001,19.893977529870206,20.34650523003224,3.0,0.01893932500590898,42.257571404950205
0.71,19.885950527687122,20.341511722524835,3.0,0.01890691738742588,42.26679432516783
0.72,19.878203958240864,20.336121968876714,3.0,0.018874192175891542,42.27609556979801
0.73,19.87075740082656,20.330351626049683,3.0,0.018841239201919244,42.2854501481739
0.74,19.863629530759678,20.324217290210072,3.0,0.018808148009146382,42.294833070931574
0.75,19.856838077774242,20.317736441969306,3.0,0.01877500759767684,42.30421941837383
0.76,19.85039978796127,20.310927390193218,3.0,0.018741906178961893,42.31358440709254
0.77,19.844330389241577,20.30380921462388,3.0,0.018708930942686466,42.322903454686056
0.78,19.838644560349717,20.296401707548423,3.0,0.018676167836088366,42.33215224242979
0.79,19.833355903290006,20.288725314738794,3.0,0.01864370135600459,42.3413067757788
0.8,19.828476919211372,20.280801075874766,3.0,0.01861161435381239,42.35034344260135
0.81,19.82401898763514,20.272650564650373,3.0,0.018579987853312982,42.35923906906245
0.8200000000000001,19.819992348958888,20.264295828750967,3.0,0.01854890088149584,42.36797097309402
0.8300000000000001,19.81640609015015,20.255759329874845,3.0,0.018518430312020214,42.376517015406684
0.84,19.813268133535914,20.247063883959918,3.0,0.0184886507211583,42.38485564801372
0.85,19.8105852285877,20.238232601762302,3.0,0.018459634255864093,42.39296596025302
0.86,19.8083629465972,20.229288829920225,3.0,0.01843145051355922,42.40082772230652
0.87,19.806605678134076,20.2202560926234,3.0,0.018404166433167002,42.40842142622876
0.88,19.805316633175682,20.211158033995087,3.0,0.01837784619687403,42.415728324507086
0.89,19.804497843797478,20.202018361281603,3.0,0.018352551142057603,42.42273046618558
0.9,19.80415016931351,20.19286078893217,3.0,0.01832833968278544,42.429410730592835
0.91,19.804273303757654,20.18370898364069,3.0,0.018305267240271157,42.43575285872034
0.92,19.80486578559878,20.174586510410542,3.0,0.01828338618165539,42.44174148230358
0.93,19.80592500958617,20.165516779693633,3.0,0.0182627457664758,42.44736215066228
0.9400000000000001,19.807447240625613,20.156522995646142,3.0,0.018243392100191675,42.4526013553587
0.9500000000000001,19.809427629591116,20.14762810553513,3.0,0.018225368094136694,42.4574465527348
