step,time_s,x_mm,y_mm,z_mm,odor,forward_cmd,turn_cmd,wing_Hz,left_leg,right_leg
131,1.31,10.244707922745846,10.0,5.0,0.018764461173584386,0.018764461173584386,0.0,2.814669176037658,0.0,-0.0
132,1.32,10.246584718855031,10.0,5.0,0.018767961091842103,0.018767961091842103,0.0,2.8151941637763156,0.0,-0.0
133,1.33,10.248461865070091,10.0,5.0,0.018771462150596788,0.018771462150596788,0.0,2.8157193225895183,0.0,-0.0
134,1.34,10.250339361505127,10.0,5.0,0.018774964350363407,0.018774964350363407,0.0,2.816244652554511,0.0,-0.0
135,1.35,10.252217208274292,10.0,5.0,0.01877846769165726,0.01877846769165726,0.0,2.816770153748589,0.0,-0.0
136,1.36,10.25409540549179,10.0,5.0,0.018781972174993913,0.018781972174993913,0.0,2.817295826249087,0.0,-0.0
137,1.37,10.25597395327188,10.0,5.0,0.018785477800889263,0.018785477800889263,0.0,2.8178216701333896,0.0,-0.0
138,1.3800000000000001,10.257852851728867,10.0,5.0,0.018788984569859443,0.018788984569859443,0.0,2.8183476854789165,0.0,-0.0
139,1.3900000000000001,10.259732100977109,10.0,5.0,0.01879249248242093,0.01879249248242093,0.0,2.8188738723631395,0.0,-0.0
140,1.4000000000000001,10.261611701131018,10.0,5.0,0.018796001539090435,0.018796001539090435,0.0,2.819400230863565,0.0,-0.0
141,1.41,10.263491652305056,10.0,5.0,0.018799511740385008,0.018799511740385008,0.0,2.819926761057751,0.0,-0.0
142,1.42,10.26537195461374,10.0,5.0,0.018803023086821982,0.018803023086821982,0.0,2.820453463023297,0.0,-0.0
143,1.43,10.267252608171631,10.0,5.0,0.01880653557891897,0.01880653557891897,0.0,2.8209803368378457,0.0,-0.0
144,1.44,10.26913361309335,10.0,5.0,0.01881004921719388,0.01881004921719388,0.0,2.821507382579082,0.0,-0.0
145,1.45,10.271014969493567,10.0,5.0,0.018813564002164936,0.018813564002164936,0.0,2.8220346003247405,0.0,-0.0
146,1.46,10.272896677487003,10.0,5.0,0.018817079934350618,0.018817079934350618,0.0,2.8225619901525927,0.0,-0.0
147,1.47,10.274778737188429,10.0,5.0,0.01882059701426975,0.01882059701426975,0.0,2.8230895521404626,0.0,-0.0
148,1.48,10.276661148712673,10.0,5.0,0.01882411524244137,0.01882411524244137,0.0,2.823617286366206,0.0,-0.0
149,1.49,10.278543912174612,10.0,5.0,0.01882763461938489,0.01882763461938489,0.0,2.8241451929077335,0.0,-0.0
150,1.5,10.280427027689175,10.0,5.0,0.01883115514561997,0.01883115514561997,0.0,2.8246732718429954,0.0,-0.0
151,1.51,10.282310495371341,10.0,5.0,0.018834676821666587,0.018834676821666587,0.0,2.825201523249988,0.0,-0.0
152,1.52,10.284194315336146,10.0,5.0,0.018838199648045017,0.018838199648045017,0.0,2.8257299472067525,0.0,-0.0
