time,pos_x,pos_y,pos_z,dist_to_source,odor_concentration,brain_forward,brain_turn,velocity
1.31,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.32,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.33,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.34,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.35,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.36,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.37,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.3800000000000001,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.3900000000000001,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.4000000000000001,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.41,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.42,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.43,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.44,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.45,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.46,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.47,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.48,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.49,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.5,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.51,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.52,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.53,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.54,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.55,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.56,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.57,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.58,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.59,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.6,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.61,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.62,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.6300000000000001,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.6400000000000001,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.6500000000000001,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.6600000000000001,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.67,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.68,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.69,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
