step,time_s,x_mm,y_mm,z_mm,odor,forward_cmd,turn_cmd,wing_Hz,left_leg,right_leg
97,0.97,20.181648892145777,20.0,5.0,0.018758616580995407,0.018758616580995407,0.0,2.813792487149311,0.0,-0.0
98,0.98,20.183525220216573,20.0,5.0,0.018763280707976573,0.018763280707976573,0.0,2.814492106196486,0.0,-0.0
99,0.99,20.185402014902685,20.0,5.0,0.018767946861131462,0.018767946861131462,0.0,2.8151920291697192,0.0,-0.0
100,1.0,20.18727927640685,20.0,5.0,0.018772615041679836,0.018772615041679836,0.0,2.8158922562519755,0.0,-0.0
101,1.01,20.189157004931936,20.0,5.0,0.01877728525084237,0.01877728525084237,0.0,2.8165927876263552,0.0,-0.0
102,1.02,20.19103520068092,20.0,5.0,0.018781957489840673,0.018781957489840673,0.0,2.817293623476101,0.0,-0.0
103,1.03,20.19291386385691,20.0,5.0,0.018786631759897268,0.018786631759897268,0.0,2.8179947639845904,0.0,-0.0
104,1.04,20.194792994663132,20.0,5.0,0.018791308062235598,0.018791308062235598,0.0,2.81869620933534,0.0,-0.0
105,1.05,20.19667259330294,20.0,5.0,0.01879598639808002,0.01879598639808002,0.0,2.819397959712003,0.0,-0.0
106,1.06,20.198552659979804,20.0,5.0,0.018800666768655813,0.018800666768655813,0.0,2.820100015298372,0.0,-0.0
107,1.07,20.20043319489732,20.0,5.0,0.018805349175189216,0.018805349175189216,0.0,2.8208023762783823,0.0,-0.0
108,1.08,20.202314198259213,20.0,5.0,0.01881003361890736,0.01881003361890736,0.0,2.821505042836104,0.0,-0.0
109,1.09,20.204195670269318,20.0,5.0,0.018814720101038303,0.018814720101038303,0.0,2.8222080151557454,0.0,-0.0
110,1.1,20.206077611131597,20.0,5.0,0.018819408622811028,0.018819408622811028,0.0,2.822911293421654,0.0,-0.0
111,1.11,20.207960021050145,20.0,5.0,0.018824099185455447,0.018824099185455447,0.0,2.8236148778183168,0.0,-0.0
112,1.12,20.209842900229166,20.0,5.0,0.018828791790202422,0.018828791790202422,0.0,2.8243187685303632,0.0,-0.0
113,1.1300000000000001,20.211726248872996,20.0,5.0,0.01883348643828371,0.01883348643828371,0.0,2.8250229657425567,0.0,-0.0
114,1.1400000000000001,20.21361006718609,20.0,5.0,0.018838183130932024,0.018838183130932024,0.0,2.8257274696398036,0.0,-0.0
115,1.1500000000000001,20.21549435537303,20.0,5.0,0.01884288186938098,0.01884288186938098,0.0,2.826432280407147,0.0,-0.0
116,1.16,20.217379113638515,20.0,5.0,0.018847582654865164,0.018847582654865164,0.0,2.8271373982297745,0.0,-0.0
117,1.17,20.219264342187376,20.0,5.0,0.018852285488620047,0.018852285488620047,0.0,2.827842823293007,0.0,-0.0
118,1.18,20.221150041224565,20.0,5.0,0.01885699037188208,0.01885699037188208,0.0,2.8285485557823122,0.0,-0.0
119,1.19,20.223036210955154,20.0,5.0,0.01886169730588862,0.01886169730588862,0.0,2.829254595883293,0.0,-0.0
120,1.2,20.224922851584342,20.0,5.0,0.01886640629187795,0.01886640629187795,0.0,2.8299609437816926,0.0,-0.0
121,1.21,20.22680996331745,20.0,5.0,0.01887111733108932,0.01887111733108932,0.0,2.8306675996633976,0.0,-0.0
122,1.22,20.228697546359925,20.0,5.0,0.018875830424762877,0.018875830424762877,0.0,2.8313745637144314,0.0,-0.0
123,1.23,20.23058560091734,20.0,5.0,0.018880545574139745,0.018880545574139745,0.0,2.832081836120962,0.0,-0.0
124,1.24,20.23247412719539,20.0,5.0,0.018885262780461955,0.018885262780461955,0.0,2.8327894170692933,0.0,-0.0
125,1.25,20.234363125399884,20.0,5.0,0.01888998204497251,0.01888998204497251,0.0,2.8334973067458766,0.0,-0.0
126,1.26,20.236252595736776,20.0,5.0,0.018894703368915296,0.018894703368915296,0.0,2.8342055053372945,0.0,-0.0
127,1.27,20.23814253841213,20.0,5.0,0.01889942675353521,0.01889942675353521,0.0,2.8349140130302817,0.0,-0.0
128,1.28,20.240032953632138,20.0,5.0,0.018904152200078045,0.018904152200078045,0.0,2.835622830011707,0.0,-0.0
129,1.29,20.241923841603118,20.0,5.0,0.018908879709790525,0.018908879709790525,0.0,2.836331956468579,0.0,-0.0
130,1.3,20.24381520253151,20.0,5.0,0.018913609283920368,0.018913609283920368,0.0,2.837041392588055,0.0,-0.0
131,1.31,20.245707036623884,20.0,5.0,0.018918340923716193,0.018918340923716193,0.0,2.837751138557429,0.0,-0.0
132,1.32,20.247599344086925,20.0,5.0,0.018923074630427562,0.018923074630427562,0.0,2.8384611945641343,0.0,-0.0
133,1.33,20.249492125127457,20.0,5.0,0.018927810405305015,0.018927810405305015,0.0,2.8391715607957524,0.0,-0.0
134,1.34,20.251385379952417,20.0,5.0,0.01893254824960001,0.01893254824960001,0.0,2.8398822374400017,0.0,-0.0
135,1.35,20.253279108768872,20.0,5.0,0.018937288164564962,0.018937288164564962,0.0,2.8405932246847443,0.0,-0.0
136,1.36,20.255173311784016,20.0,5.0,0.018942030151453237,0.018942030151453237,0.0,2.8413045227179854,0.0,-0.0
137,1.37,20.25706798920517,20.0,5.0,0.018946774211519146,0.018946774211519146,0.0,2.842016131727872,0.0,-0.0
138,1.3800000000000001,20.25896314123977,20.0,5.0,0.018951520346017953,0.018951520346017953,0.0,2.842728051902693,0.0,-0.0
139,1.3900000000000001,20.260858768095392,20.0,5.0,0.018956268556205868,0.018956268556205868,0.0,2.8434402834308803,0.0,-0.0
140,1.4000000000000001,20.262754869979727,20.0,5.0,0.018961018843340047,0.018961018843340047,0.0,2.844152826501007,0.0,-0.0
